stat,p_fit,p_stderr,C_fit,r2_loglog,n_points,min_fit_dim,max_fit_dim
mean,-0.9040123320205051,0.012106968509458017,0.4661845140600068,0.9992830800908497,6,6,
median,-0.8966859835003069,0.015806731362856503,0.4560822250265741,0.9987585652704187,6,6,
mode,-0.9124723291677541,0.10400290603620724,0.461969770472134,0.9506019035998388,6,6,
